Samples	CHL.chlor_a	FLH.nflh	FLH.ipar	IOP.adg_unc_443	IOP.adg_443	IOP.aph_unc_443	IOP.aph_44	IOP.bbp_s	IOP.adg_s	bbp_unc_443	IOP.bbp_443	IOP.a_412	IOP.a_443	IOP.a_469	IOP.a_488	IOP.a_531	IOP.a_547	IOP.a_555	IOP.a_645	IOP.a_667	IOP.a_678	IOP.bb_412	IOP.bb_443	IOP.bb_469	IOP.bb_488	IOP.bb_531	IOP.bb_547	IOP.bb_555	IOP.bb_645	IOP.bb_667	IOP.bb_678	KD.Kd_490	NSST.sst	PAR.par	PIC.pic	POC.poc	RRS.aot_869	RRS.angstrom	RRS.Rrs_412	RRS.Rrs_443	RRS.Rrs_469	RRS.Rrs_488	RRS.Rrs_531	RRS.Rrs_547	RRS.Rrs_555	RRS.Rrs_645	RRS.Rrs_667	RRS.Rrs_678	SST.sst
S11_Z00	8.6798996925354	0.241708405315876	0.0006993960123509169	0.033488063141703606	0.07587606087327003	0.062458060681819916		1.0621460378170013	0.017999999225139618		0.0030216032173484564	0.20160005241632462	0.15804605931043625	0.11985206231474876	0.10022606700658798	0.08620606735348701	0.08643607050180435	0.0881800428032875	0.34774403274059296	0.4742460399866104	0.5046380460262299	0.006092702737078071	0.005143304588273168	0.004556503379717469	0.004212703672237694	0.003617804730311036	0.0034451043466106057	0.0033661037450656295	0.002718504285439849	0.002607103786431253	0.002555703278630972	0.9380560219287872	16.836898803710938	37.50455856323242	0.0001804377170628868	867.8358764648438	0.05267399735748768	0.8137900531291962	0.0005520009144674987	0.0009996805456466973	0.0013741608709096909	0.001901840791106224	0.0020262409234419465	0.0019044809159822762	0.0017414811300113797	-0.00023419915669364855	-0.00023987919121282175	-9.599909390090033e-05	17.810898780822754
S12_Z00	3.357508063316345	0.3080679178237915	0.0007050800486467779	0.022372054867446423	0.06654406897723675	0.05577005445957184		0.9805682301521301	0.017999999225139618		0.002791104605421424	0.21931606531143188	0.18867206573486328	0.1469760686159134	0.12372805550694466	0.09810007363557816	0.09599008038640022	0.09637205675244331	0.35738809406757355	0.49435408413410187	0.5266020894050598	0.005874105496332049	0.004926204215735197	0.004340702667832375	0.0039978037821128964	0.0034076038282364607	0.003235504380427301	0.0031575042521581054	0.002519203466363251	0.002410004148259759	0.002359704696573317	0.3154919892549515	12.677000045776367	37.91291809082031	7.943808850541245e-05	398.1798553466797	0.05590599589049816	0.7064980268478394	0.0017977209063246846	0.0015333207556977868	0.001486280933022499	0.0017948008608072996	0.0017876409110613167	0.0016886006342247128	0.001590880798175931	0.0002648009322001599	0.00025724113220348954	0.0004428409010870382	13.223299503326416
S13_Z00	0.5738587379455566	0.13807129859924316	0.000701800046954304	0.0031580639770254493	0.03190406784415245	0.005486059235408902		1.4501375555992126	0.017999999225139618		0.0016387048526667058	0.08795006200671196	0.07451806962490082	0.06060807406902313	0.05384205840528011	0.05913006328046322	0.06451007351279259	0.06911006197333336	0.3339260369539261	0.4479260742664337	0.47593605518341064	0.00472070393152535	0.003764503635466099	0.00317710405215621	0.002835403080098331	0.0022498046746477485	0.0020812033908441663	0.0020049044396728277	0.0013928053085692227	0.00129120412748307	0.0012452033115550876	0.07533200085163116	15.339100360870361	37.21943664550781	1.719787724141497e-05	120.5838851928711	0.08130799978971481	0.551534041762352	0.003069321042858064	0.0027518810238689184	0.0025977608747780323	0.002773161046206951	0.0019836407154798508	0.001641160692088306	0.0014202810707502067	0.00019684075959958136	0.00020348094403743744	0.00027464084269013256	15.59049940109253
S15_Z00	0.8484557867050171	0.1887669935822487	0.0007082500378601253	0.00478205201216042	0.03332206793129444	0.008218069095164537		1.2724100947380066	0.017999999225139618		0.0022336042020469904	0.10360005497932434	0.09171006828546524	0.07456406950950623	0.0654180720448494	0.0643540471792221	0.06847808510065079	0.07248805090785027	0.33754605054855347	0.4553440511226654	0.48399604856967926	0.0053498041816055775	0.0043616031762212515	0.00374840316362679	0.003389403806068003	0.0027682039653882384	0.002587603870779276	0.0025053051067516208	0.001834804133977741	0.0017211040831170976	0.0016689043841324747	0.0936799980700016	14.968599796295166	40.88488006591797	3.595784437493421e-05	155.64791107177734	0.08061999455094337	0.5137800127267838	0.0029376010643318295	0.002583760884590447	0.002430241205729544	0.002680240897461772	0.002208000863902271	0.0019065608503296971	0.001689760945737362	0.0002562007284723222	0.0002698809694265947	0.00037564084050245583	15.2298002243042
S16_Z00	1.0883730351924896	0.1751755252480507	0.0007119580404832959	0.00587605475448072	0.036384062841534615	0.009838060941547155		1.2307931780815125	0.017999999225139618		0.002199105336330831	0.11223406717181206	0.09852004051208496	0.07954205572605133	0.06936004757881165	0.06636803224682808	0.07007206976413727	0.0738520510494709	0.3386300653219223	0.4574340432882309	0.4862600415945053	0.0053074045572429895	0.004331303760409355	0.0037277042865753174	0.003374303807504475	0.0027639040490612388	0.0025868037482723594	0.00250610476359725	0.001850104017648846	0.0017385039245709777	0.0016884049400687218	0.11110799387097359	13.55739974975586	41.974557876586914	6.287783253355883e-05	212.70789337158203	0.06604999676346779	0.6184980571269989	0.0026020407676696777	0.0022744808811694384	0.002223120885901153	0.002509760670363903	0.002120440825819969	0.0018021611031144857	0.0016041607595980167	0.00018580064352136105	0.00020120076806051657	0.00030208087991923094	13.93429946899414
S17_Z00	1.2122358679771423	0.19994112104177475	0.0007285800529643893	0.009034070651978254	0.045378074049949646	0.016688065137714148		1.2017270922660828	0.017999999225139618		0.00254980381578207	0.13388405740261078	0.11374606937170029	0.09014005959033966	0.07756805047392845	0.07127006351947784	0.07405205816030502	0.07732006162405014	0.3409840315580368	0.46187005937099457	0.49109606444835663	0.005679603666067123	0.004683504579588771	0.004065404646098614	0.0037022049073129892	0.00307370419614017	0.002890003379434347	0.0028064039070159197	0.0021227034740149975	0.0020052024628967047	0.0019515046733431518	0.11846800148487091	14.7131986618042	40.7027587890625	6.547838529513683e-05	218.9198989868164	0.08350199833512306	0.5697640478610992	0.002732120919972658	0.0024505211040377617	0.0024034408852458	0.00265800126362592	0.002258680760860443	0.0019464808865450323	0.001753520977217704	0.00027220106858294457	0.00028832079260610044	0.0003987208765465766	14.601600170135498
S18_Z00	4.555235981941223	0.3839014917612076	0.0006075939745642245	0.040630050003528595	0.08019605651497841	0.12766606733202934		0.8025927543640137	0.017999999225139618		0.004536403110250831	0.3490000516176224	0.3187840133905411	0.24972005933523178	0.2092580571770668	0.1514880582690239	0.14064205065369606	0.13530205562710762	0.3932260423898697	0.5663160681724548	0.6055340468883514	0.0076607035007327795	0.006679003359749913	0.006067704176530242	0.005707003874704242	0.005078803515061736	0.004894004203379154	0.004809404956176877	0.0041054049506783485	0.003981904126703739	0.003925303462892771	0.40320001542568207	13.491499900817871	27.557479858398438	0.00011323809667374007	444.56788635253906	0.04617399908602238	0.6511320471763611	0.001960800844244659	0.0013180410023778677	0.001227120985276997	0.0016180408420041203	0.0017596809775568545	0.0017128009349107742	0.0016598011134192348	0.0003655607288237661	0.0003931613318854943	0.0006181608769111335	13.87869930267334
S19_Z00	1.3834508657455444	0.2685054987668991	0.0006079520098865032	0.008556060492992401	0.023770060390233994	0.01794606726616621		1.149204671382904	0.017999999225139618		0.002333803102374077	0.11299806833267212	0.11322005838155746	0.09431608021259308	0.08273005485534668	0.07245605438947678	0.07482004538178444	0.07787405699491501	0.3445660471916199	0.47012604773044586	0.5001260489225388	0.005448703188449144	0.004473004024475813	0.0038687034975737333	0.003514703130349517	0.002903503831475973	0.002725803293287754	0.002644504886120558	0.0019845038768835366	0.001872304652351886	0.001820803910959512	0.13236799836158752	13.952899932861328	28.008317947387695	4.06380004278617e-05	229.18792724609375	0.06218999996781349	0.42984405159950256	0.0029497207142412663	0.0020927608711645007	0.0019079608609899879	0.0022528411354869604	0.002041320549324155	0.0017925210413523018	0.0016450410475954413	0.0002822406677296385	0.0003231209411751479	0.0004752807872137055	14.176199913024902
S20_Z00	0.99884033203125	0.2582579106092453	0.0006097779842093587	0.005478067323565483	0.0188860516063869	0.011254076845943928		1.225179374217987	0.017999999225139618		0.002361403312534094	0.09314205124974251	0.09552206099033356	0.0808100700378418	0.07176604866981506	0.06653006374835968	0.07009004801511765	0.07379605993628502	0.34093204140663147	0.46292203664779663	0.492264062166214	0.0054946045856922865	0.004497702931985259	0.003879403928294778	0.0035157043021172285	0.002887003356590867	0.0027037033578380942	0.002619704930111766	0.0019374036346562207	0.0018204039079137146	0.0017674043774604797	0.10420399531722069	14.703598976135254	27.786598205566406	4.287764386390336e-05	168.87188720703125	0.06157199665904045	0.39895205199718475	0.0033557609422132373	0.0024777207290753722	0.0022511609131470323	0.002579921158030629	0.002232600818388164	0.001922641007695347	0.0017452809843234718	0.0002860408276319504	0.0003267207066528499	0.00046852089872118086	14.877699375152588
S24_Z00	0.9701442122459412	0.20869438350200653	0.0006552939885295928	0.004820065340027213	0.019964056089520454	0.010482068173587322		1.241213858127594	0.017999999225139618		0.0024750051088631153	0.09345807135105133	0.09466405212879181	0.07986604422330856	0.07089405506849289	0.06625007092952728	0.06990806013345718	0.07364806160330772	0.34059204161167145	0.4621460735797882	0.4914300739765167	0.005626704310998321	0.0046136032324284315	0.0039843053091317415	0.003613804583437741	0.002971404232084751	0.002783803967759013	0.002698203665204346	0.001997503684833646	0.0018776041688397527	0.0018230047426186502	0.10409999638795853	14.986299514770508	27.055679321289062	7.803782864357345e-05	175.0998764038086	0.042768001556396484	0.9055820405483246	0.003561240737326443	0.002641241066157818	0.0024290408473461866	0.0027131608221679926	0.002338320598937571	0.0019904006039723754	0.0018154009594582021	0.0002181208910769783	0.00025332086079288274	0.0003678809880511835	15.037600040435791
S25_Z00	0.7934165894985199	0.20910920947790146	0.0006676579941995442	0.0026280784513801336	0.01510606799274683	0.005762081127613783		1.305728256702423	0.017999999225139618		0.003156202961690724	0.07766206189990044	0.08116207271814346	0.06968405470252037	0.06273804605007172	0.062380071729421616	0.06690804287791252	0.07107206806540489	0.338392049074173	0.45779402554035187	0.48671606183052063	0.006375503493472934	0.005288903834298253	0.004606303758919239	0.004200404044240713	0.0034905046923086047	0.0032809048425406218	0.003184802830219269	0.002387403277680278	0.002248703851364553	0.0021849042968824506	0.09119199588894844	16.24899959564209	28.1282377243042	0.0001379971145070158	139.80387115478516	0.05298599787056446	0.7611380517482758	0.004415441304445267	0.003432840807363391	0.0031546405516564846	0.003411080688238144	0.0028683608397841454	0.002444240846671164	0.002198960748501122	0.0003150811098748818	0.0003355608059791848	0.0004415608855197206	16.501100540161133
S26_Z00	0.7282375991344452	0.20833741128444672	0.0006683699903078377	0.002332067466340959	0.014678062871098518	0.005122065544128418		1.3480937480926514	0.017999999225139618		0.0032381039345636964	0.07293006032705307	0.0760260783135891	0.06551004201173782	0.05929005146026611	0.06076405942440033	0.06567805260419846	0.0700300745666027	0.3372800350189209	0.45551806688308716	0.48424406349658966	0.006474203895777464	0.005370404105633497	0.004675703588873148	0.004263103706762195	0.0035388022661209106	0.0033248040126636624	0.0032271037343889475	0.002411202876828611	0.0022694042418152094	0.0022041037445887923	0.08735200390219688	16.313899040222168	28.894476890563965	0.00017219781875610352	132.9799041748047	0.06014000065624714	0.6327460706233978	0.004718120908364654	0.003691800986416638	0.003389640711247921	0.0036328810965642333	0.0029780006734654307	0.0025192807661369443	0.0022600413067266345	0.0003406410542083904	0.0003515209973556921	0.00045328088162932545	16.60669994354248
S27_Z00	4.512341141700745	0.3328845202922821	0.0006952099502086639	0.030204053968191147	0.07804206386208534	0.07641003653407097		1.00113844871521	0.017999999225139618		0.002985004219226539	0.25802405178546906	0.22019603848457336	0.170274056494236	0.142440065741539	0.11007605865597725	0.10611606389284134	0.10526005923748016	0.36436203122138977	0.5079480409622192	0.541530042886734	0.00607150443829596	0.005124703515321016	0.004541103262454271	0.0041998031083494425	0.003611904103308916	0.0034413033863529563	0.003363804193213582	0.0027319034561514854	0.0026240044971928	0.0025746029568836093	0.44724398851394653	14.740699291229248	26.789316177368164	0.00017035783093888313	663.7159423828125	0.05879799462854862	0.8477419912815094	0.0019400007440708578	0.0014562407741323113	0.001396000967361033	0.0017360808560624719	0.0017004807014018297	0.001588560815434903	0.0014986410387791693	0.00019992098532384261	0.0002394008552073501	0.00042840100650209934	14.983199119567871
S28_Z00	0.7561324238777161	0.19679608941078186	0.000697377894539386	0.003926072153262794	0.0187760591506958	0.007954092230647802		1.309101402759552	0.017999999225139618		0.002343703294172883	0.08463006839156151	0.08564206585288048	0.07269806787371635	0.06496807001531124	0.06323605217039585	0.06753405928611755	0.0716160498559475	0.3385740965604782	0.45805005729198456	0.48696404695510864	0.005486803594976664	0.00447770394384861	0.003851103945635259	0.003482603468000889	0.0028447038494050503	0.0026594052324071527	0.002574203652329743	0.0018832037458196282	0.0017647036584094167	0.0017117038369178772	0.08870400115847588	15.914599418640137	28.42351722717285	1.9797682398348115e-05	137.16390991210938	0.07004199922084808	0.5899860709905624	0.0037521207705140114	0.002843120601028204	0.002610960975289345	0.002830920973792672	0.0023519607493653893	0.001964600814972073	0.0017695611459203064	0.0002511208440409973	0.00028296082746237516	0.0003875611728290096	16.131799697875977
S29_Z00	0.6148809790611267	0.1786724179983139	0.0006939140148460865	0.0026380634517408907	0.01693607307970524	0.005502099986188114		1.4000413417816162	0.017999999225139618		0.0023810038110241294	0.0727260634303093	0.07349006831645966	0.06301606073975563	0.057002076879143715	0.05954405292868614	0.06470206752419472	0.06919807195663452	0.33612002432346344	0.453060045838356	0.4815540611743927	0.005541002843528986	0.004512004554271698	0.0038714036345481873	0.0034949034452438354	0.0028419045265764	0.0026511040050536394	0.0025642033433541656	0.0018542036414146423	0.0017327037639915943	0.0016780042788013816	0.07972399890422821	16.794699668884277	28.478879928588867	2.4237334400822874e-05	122.12388610839844	0.08498599752783775	0.49695003032684326	0.004216600675135851	0.003261441015638411	0.0030039609409868717	0.0031975609017536044	0.0024832809576764703	0.002052240655757487	0.001834120776038617	0.00025108099362114444	0.00028392068634275347	0.0003755608922801912	17.05500030517578
S30_Z00	0.6490736305713654	0.1662556380033493	0.0006718680378980935	0.0020700502791441977	0.015438060741871595	0.004548053722828627		1.4627341032028198	0.017999999225139618		0.002403603750281036	0.06780005060136318	0.0689900629222393	0.059518055990338326	0.05420606583356857	0.058576058596372604	0.06402205675840378	0.06863805279135704	0.335580050945282	0.45198605954647064	0.4803980588912964	0.0055724033154547215	0.004532905062660575	0.0038858025800436735	0.0035045049153268337	0.002844004426151514	0.002651003305800259	0.0025628029834479094	0.0018447041511535645	0.0017224038019776344	0.0016663038986735046	0.08235200494527817	17.034199714660645	29.060237884521484	5.2877814596286044e-05	115.51191329956055	0.0792739987373352	0.7654879987239838	0.004428880522027612	0.0035045609110966325	0.0031907210359349847	0.003344200784340501	0.0025105206295847893	0.002085000858642161	0.0018501605372875929	0.0002446408543619327	0.0002833605540217832	0.0003730410971911624	17.273099899291992
