TSC_NAME	CHL.chlor_a	FLH.nflh	KD.Kd_490	PAR.par	PIC.pic	POC.poc	RRS.Rrs_412	RRS.Rrs_443	RRS.Rrs_469	RRS.Rrs_488	RRS.Rrs_531	RRS.Rrs_547	RRS.Rrs_555	RRS.Rrs_645	RRS.Rrs_667	RRS.Rrs_678	SST.sst
TSC060	0.10899780318140984	0.05006571300327778	0.033747998997569084	51.04687690734863	3.903761535184458e-05	43.31989288330078	0.009781360626220703	0.007955720881000161	0.007052920991554856	0.005960560403764248	0.002504320931620896	0.001926001044921577	0.0015735209453850985	0.00029244087636470795	0.0002124807215295732	0.00022340095893014222	30.704198837280273
TSC062	0.08711455389857292	0.03564292564988136	0.029307998716831207	52.87371826171875	2.3677945137023926e-05	36.43587875366211	0.011237961240112782	0.008445080369710922	0.007293880684301257	0.006000081077218056	0.002306880778633058	0.001749840856064111	0.001437080733012408	0.0002751208812696859	0.0001794011113815941	0.0001880005729617551	30.976799964904785
TSC065	0.0732894279062748	0.04634781368076801	0.028495999984443188	49.52743911743164	3.7157833503442816e-05	34.935869216918945	0.012300640344619751	0.009236360434442759	0.007873840862885118	0.006413960596546531	0.002447240985929966	0.0018373210332356393	0.0015102009056136012	0.0002706807863432914	0.00019548095588106662	0.00021004080917919055	29.563398361206055
TSC068	0.0641920268535614	0.0682557225227356	0.024636000394821167	39.64959907531738	1.6917585980991134e-05	29.95987319946289	0.012974841054528952	0.009536400903016329	0.008069721050560474	0.006369640817865729	0.0021947610657662153	0.0016153210308402777	0.0013566809939220548	0.00019296102254884318	0.0001678012340562418	0.00019296064419904724	27.547698974609375
TSC070	0.18014907836914062	0.05279761925339699	0.03614799678325653	39.21383857727051	1.0638087587722111e-05	51.37193489074707	0.00683928094804287	0.00538564077578485	0.005126961041241884	0.004556160653010011	0.002019800595007837	0.0015446408651769161	0.0013356806011870503	0.00019908070680685341	0.00016728103219065815	0.0001857201787061058	27.55989933013916
TSC071	0.2078097239136696	0.06385780684649944	0.03972799889743328	37.76947784423828	0.00018243767408421263	59.59990310668945	0.00672544096596539	0.005509000737220049	0.005495961057022214	0.005114360712468624	0.0024628806859254837	0.0018954405095428228	0.0016343608149327338	0.00021396055672084913	0.00017956078227143735	0.00020444065012270585	27.204298973083496
TSC073	0.1721843034029007	0.051270995289087296	0.034115998074412346	34.051679611206055	1.1277645626250887e-05	49.119882583618164	0.006823361152783036	0.005514080636203289	0.005201041232794523	0.004676360636949539	0.0020268410444259644	0.0015236809849739075	0.001334240718279034	0.0001315205590799451	0.00015076100680744275	0.00017140075942734256	24.22239875793457
TSC078	0.2681814730167389	0.1203199103474617	0.04960400238633156	26.580198287963867	1.447737167836749e-05	73.31189346313477	0.005715081235393882	0.0043583211954683065	0.004193800734356046	0.004012760939076543	0.002217720728367567	0.0017358007607981563	0.0015443610027432442	0.0001410809127264656	0.0002022407206823118	0.0002626007772050798	21.723498344421387
TSC085	0.3749675005674362	0.16741670668125153	0.05804399773478508	19.722599029541016	1.5398114555864595e-05	92.3399543762207	0.004574600839987397	0.0032595611410215497	0.003234681091271341	0.003292240551672876	0.002026560832746327	0.0016195611096918583	0.0014760406920686364	7.788091897964478e-05	0.00020820095960516483	0.00029824078956153244	21.112197875976562
TSC089	0.48855048418045044	0.2150847092270851	0.06832799687981606	21.065237045288086	2.3277401851373725e-05	175.91990661621094	0.0044316810090094805	0.002936120959930122	0.002901001018472016	0.003097400884144008	0.002151840948499739	0.0017269608215428889	0.0015847209142521024	0.00012616075400728732	0.00025604083202779293	0.00037344098382163793	15.495800971984863
TSC092	5.54765260219574	0.45290282368659973	0.4675879627466202	41.10483932495117	0.0002968779226648621	819.2399291992188	0.0013269207265693694	0.001356320979539305	0.0016307207406498492	0.00195912120398134	0.002494760788977146	0.0024607210652902722	0.0024107208009809256	0.0005617609713226557	0.0006098409940022975	0.0008836011693347245	14.756398677825928
TSC102	0.16531803458929062	0.15010902658104897	0.038523998111486435	36.557796478271484	1.6397833860537503e-05	50.99990272521973	0.007443560985848308	0.005956281209364533	0.005409561330452561	0.004773960681632161	0.002267760573886335	0.0016993606695905328	0.0014516011578962207	0.00013776115883956663	0.0001956009800778702	0.0002672806440386921	16.607199668884277
TSC110	0.1829250529408455	0.10870721936225891	0.0403479989618063	40.47535705566406	2.3597329345648177e-05	55.211923599243164	0.006948880851268768	0.005700480658560991	0.00527040078304708	0.004713841248303652	0.002304920693859458	0.0017436808557249606	0.0014683209592476487	0.00013860084072803147	0.00018120087042916566	0.00024060100258793682	20.272798538208008
TSC117	0.11386669427156448	0.06590971164405346	0.03283199854195118	51.826324462890625	5.863740898348624e-05	44.70390510559082	0.009105321019887924	0.007869041291996837	0.007275440730154514	0.006183440564200282	0.0026000008219853044	0.0019632410840131342	0.0016044409130699933	0.00021136068244231865	0.00020364075317047536	0.0002263608548673801	24.418498039245605
TSC126	0.05672580935060978	0.040547408163547516	0.024847998283803463	49.74640083312988	3.12779839077848e-05	30.331893920898438	0.012788000050932169	0.010015720501542091	0.008455001283437014	0.006754240719601512	0.0023787207901477814	0.0017459206865169108	0.0014287210651673377	0.00018916078261099756	0.00017772085993783548	0.00018736079073278233	23.613999366760254
TSC135	0.08714492619037628	0.04855271242558956	0.029971998184919357	49.72212028503418	5.223721018410288e-05	38.59992218017578	0.01071328017860651	0.008683720603585243	0.007734641432762146	0.00638236035592854	0.0025450410321354866	0.0019001610926352441	0.001578040944878012	0.00021208077669143677	0.00021304130495991558	0.00022720106062479317	21.194700241088867
TSC140	0.5141364485025406	0.12982971593737602	0.07003600150346756	59.86171913146973	0.0011127975885756314	116.79993057250977	0.008975480683147907	0.007628320483490825	0.0075803210493177176	0.0077580411452800035	0.0052706405986100435	0.004377840785309672	0.0037775608943775296	0.0004127208812860772	0.0003973209095420316	0.0004412810376379639	8.133699893951416
TSC141	0.10536716133356094	0.07056940719485283	0.030755999498069286	35.85719871520996	0.00010791748718474992	44.05991172790527	0.009959680493921041	0.008480481337755919	0.00785636086948216	0.0068044806830585	0.0028034410206601024	0.0020501608960330486	0.0017434809706173837	0.00012392088683554903	0.00017692081746645272	0.00020548075553961098	2.0060999393463135
TSC145	0.13627059012651443	0.10688482224941254	0.033851997926831245	30.81599712371826	9.439796122023836e-05	50.0318660736084	0.008965121116489172	0.007616560906171799	0.00710668065585196	0.006338200531899929	0.0027622407069429755	0.0020282408222556114	0.0017242010799236596	0.00014208086213329807	0.00021580062457360327	0.00025836125132627785	0.20620000176131725
TSC147	0.7790603637695312	0.18833351135253906	0.08720799535512924	43.127798080444336	0.0001506380722275935	150.39990997314453	0.0034591208677738905	0.0032417209586128592	0.0034962407080456614	0.0036023209104314446	0.002891361014917493	0.002475400804542005	0.002244560862891376	0.00030632100242655724	0.00036272063152864575	0.00045796087943017483	17.81619930267334
TSC148	0.09834345802664757	0.052673520520329475	0.03144399914890528	43.87363815307617	3.9517879486083984e-05	40.97991180419922	0.010342201683670282	0.008287000469863415	0.007367000915110111	0.006219921167939901	0.0025444808416068554	0.0019129213178530335	0.001620920782443136	0.0002084010120597668	0.00019788078498095274	0.00021520086011150852	21.311298370361328
TSC149	0.012638949789106846	0.03563951049000025	0.01970799919217825	46.26123809814453	5.443751797429286e-05	18.727910041809082	0.02140204142779112	0.01553740119561553	0.011755520012229681	0.008213361259549856	0.002348521025851369	0.001702760811895132	0.0014124407316558063	0.00018008068582275882	0.0001688408083282411	0.0001758407015586272	24.033199310302734
TSC152	0.013961564749479294	0.039384618401527405	0.019852000288665295	40.47711753845215	4.2957366531481966e-05	18.927900314331055	0.02169464062899351	0.01513444073498249	0.011438000947237015	0.008037400897592306	0.0023097610101103783	0.001677761145401746	0.0014100009575486183	0.00019972078735008836	0.00017360105994157493	0.0001851605629781261	24.740800857543945
TSC153	0.026189475320279598	0.052620820701122284	0.02177599724382162	43.550838470458984	5.451768811326474e-05	23.727900505065918	0.018157241865992546	0.012997360900044441	0.010430720634758472	0.007739120861515403	0.0024471208453178406	0.0017822408699430525	0.0014944408903829753	0.0001976407365873456	0.00018420092965243384	0.00020388096163515002	23.801898956298828
TSC156	0.14303763955831528	0.1236485056579113	0.03700399771332741	46.248924255371094	7.143795301089995e-05	52.29191589355469	0.009164521005004644	0.007184640970081091	0.00672936113551259	0.006004840834066272	0.0027518008137121797	0.0020804008236154914	0.001748480775859207	0.0002112407237291336	0.0002385208717896603	0.0002966408501379192	25.225600242614746
TSC159	0.25851087272167206	0.1321791186928749	0.053835997357964516	51.15331840515137	5.907788727199659e-05	75.38790893554688	0.006374961230903864	0.005332880886271596	0.00502648064866662	0.004675080766901374	0.0027470409404486418	0.0021614411380141973	0.001837200834415853	0.0003007609338965267	0.0002696807059692219	0.0003303209668956697	25.738099098205566
TSC163	0.1811094433069229	0.15541130304336548	0.04992000199854374	42.686201095581055	0.00015443772281287238	64.20794105529785	0.008996240794658661	0.006840320536866784	0.006127320928499103	0.005440841196104884	0.003015480935573578	0.0023640007711946964	0.0019908007816411555	0.00033400088432244956	0.0003175207239110023	0.0003808408946497366	26.776000022888184
TSC167	0.2498430535197258	0.20443592220544815	0.05278800241649151	47.8115177154541	5.3397863666759804e-05	73.58391571044922	0.006762680830433965	0.005395521176978946	0.005099121015518904	0.004727960797026753	0.0026994807412847877	0.0021280007204040885	0.001801720936782658	0.00024376102373935282	0.00027808116283267736	0.0003512007824610919	24.342000007629395
TSC170	0.11645850166678429	0.076969925314188	0.03376399725675583	37.634477615356445	4.335746052674949e-05	44.94791030883789	0.010214920621365309	0.007697721477597952	0.006903640925884247	0.0059901210479438305	0.00257288059219718	0.0019418812589719892	0.0016549610299989581	0.00021992094843881205	0.00020700067398138344	0.00024328082508873194	23.559199333190918
TSC173	0.03245883621275425	0.04375532083213329	0.021168000996112823	30.51339817047119	2.027764912782004e-05	22.38787078857422	0.01720812078565359	0.01174908084794879	0.009266880806535482	0.006850881036370993	0.002111280569806695	0.0015325206913985312	0.0013035607407800853	0.000169680715771392	0.0001661208298173733	0.0001792406983440742	24.231399536132812
TSC184	0.1414312869310379	0.0968446135520935	0.03537599928677082	43.48087501525879	1.5998035451048054e-05	47.959882736206055	0.009076240938156843	0.006699000718072057	0.006149361142888665	0.005396840628236532	0.0023733609123155475	0.0018025606404989958	0.001511760929133743	0.00019508093828335404	0.00021260119683574885	0.0002555606479290873	26.60629940032959
TSC191	0.2607312351465225	0.17699450254440308	0.05217199958860874	42.730878829956055	1.3757645774603589e-05	69.77591705322266	0.0067300808150321245	0.004802920622751117	0.0044518811628222466	0.00409356108866632	0.0022844410268589854	0.0017890409799292684	0.0015200808993540704	0.00015308067668229342	0.00018444090528646484	0.0002911207848228514	26.68389892578125
TSC199	0.2643626034259796	0.12395111471414566	0.05383599363267422	48.120357513427734	1.511782420493546e-05	74.22394180297852	0.006260240217670798	0.004784880904480815	0.004618080565705895	0.004196680849418044	0.0024424411822110415	0.0019322809530422091	0.001653440936934203	0.00021660097263520584	0.000246440467890352	0.00030444093863479793	26.436999320983887
TSC207	0.220905102789402	0.09870781004428864	0.046852000057697296	49.69223594665527	1.4557242593582487e-05	65.65988349914551	0.0068681207485497	0.005135921062901616	0.004972240887582302	0.004519561305642128	0.0024030806962400675	0.0018685608520172536	0.0015732409665361047	0.00021140099124750122	0.0002361208971706219	0.0002830010635079816	26.578499794006348
TSC210	0.22164420038461685	0.10181030631065369	0.047443998977541924	55.243600845336914	2.915754885179922e-05	67.44788360595703	0.006456161150708795	0.005332000553607941	0.0051760810893028975	0.0047417208552360535	0.0025424008490517735	0.0019823210313916206	0.0016482807695865631	0.0002342408915865235	0.00025068112881854177	0.0002966406900668517	25.92409896850586
TSC213	0.09177123010158539	0.043772296980023384	0.030160000547766685	35.252798080444336	2.371698610659223e-05	37.86787986755371	0.010615721810609102	0.00853980053216219	0.007449560798704624	0.0060588407795876265	0.0023667210480198264	0.0017901609535329044	0.0014922008267603815	0.00020168095943517983	0.00018688090494833887	0.00019832052203128114	24.77389907836914
TSC216	0.25623418390750885	0.07415638864040375	0.04984800145030022	31.859158515930176	5.8478266510064714e-05	74.43990325927734	0.0056710010394454	0.00532436091452837	0.005239360965788364	0.00489692110568285	0.0027036007959395647	0.002128841122612357	0.0018128808587789536	0.00021928079513600096	0.00024500072322553024	0.00026904082915280014	18.44979953765869
TSC219	0.20138131827116013	0.14365240186452866	0.05167599581182003	37.076799392700195	5.24778661201708e-05	64.81989288330078	0.007906960789114237	0.006002280628308654	0.005338081158697605	0.0047401608899235725	0.002686520921997726	0.0021175609435886145	0.0018237209878861904	0.00026244089531246573	0.00025328084302600473	0.0003222806699341163	25.95029926300049
TSC222	0.08388977870345116	0.0961322970688343	0.03551600128412247	35.21647834777832	0.00014747754175914451	42.339900970458984	0.012812440283596516	0.009500641375780106	0.008042841218411922	0.0066229605581611395	0.0029170807683840394	0.002223120885901153	0.001843720965553075	0.0003237210912629962	0.00024364062119275331	0.0002824009279720485	26.06179904937744
TSC223	0.23591279238462448	0.082732904702425	0.054787999019026756	31.278676986694336	5.87178765272256e-05	71.12788009643555	0.006175120361149311	0.005350160878151655	0.004857960622757673	0.0044090410228818655	0.002579441061243415	0.002071641036309302	0.0017538806423544884	0.0003174407029291615	0.0002392008827882819	0.00027244098600931466	26.794899940490723
