Samples	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepb	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
S07_Z01	62.05649	10.2905	1729.2105500000002	267.93147	4881.367369999999	3935.602869999999	107.17976	18.42279	165.23090000000002	2545.37591	4.55789	0.0	0.0	19.989600000000003	0.0	5909.768039999999	0.0	178.8828	2550.2259899999995	2223.27695	1373.1722100000004	96.1823	166.0391	3149.36733	1437.9425	3444.387539999999	2616.5990100000004	2232.8798299999994	3932.99241	3117.091410000001	1901.10732	684.2714500000001	82.4422	177.0355	110.799	181.30143	628.8784400000001	765.09826	0.0	1235.17213	123.3274	418.92701000000005	511.85172	1151.31989	192.76347	393.69104	255.39618	488.53396	120.82515	351.4803	1900.5466599999995	95.49207	432.7541500000001	1730.8187999999998	567.0270800000001	402.22088	175.86403	211.55192	368.85865000000007	242.19136	237.31561	371.79991	203.34253
S07_Z03	30.22785	2.47713	1489.72138	392.54406	7235.118540000007	4615.458193999999	292.6425700000001	8.73306	191.14414	3569.6486099999997	7.17967	0.0	0.0	117.74313	7.11865	7144.612619999998	16.9247	22.5704	3040.790770000001	3657.815520000001	2049.59682	166.0414	92.38378	4978.959600000001	2720.530029999999	4443.73082	3990.7415899999983	3588.9754499999995	5381.926569999996	3771.6399900000006	1758.6649499999996	46.96838999999999	90.16568	157.17587	106.85896	337.91997000000003	493.90352000000007	737.5383899999999	0.0	1517.7475100000004	168.21432	445.29661	533.4205399999997	957.5924	496.54387	654.0540899999999	570.65573	664.0253999999999	365.80659	268.55915000000005	2783.32984	98.20183	692.58391	2606.235480000002	497.9955900000001	549.23322	602.6757700000002	243.6809	967.98092	281.80483	862.0081399999998	1027.85866	145.01861000000002
S07_Z05	21.51495	15.573530000000002	739.3571900000001	481.50366	3081.763480000002	1992.4210100000007	109.22248	0.0	44.16081	1425.1875700000005	0.0	0.0	0.0	69.4605	6.57424	2287.747210000001	7.26776	127.519	782.1437500000001	1858.52682	946.30806	40.4752	6.84335	2063.8028819999995	1031.6396700000005	2344.640929999999	1670.967759999999	2188.17608	2366.11591	2086.088610000001	347.66223999999994	11.0706	11.80469	46.3778	48.13204999999999	124.2528	91.58874	480.38682000000006	0.0	591.42032	104.72887999999998	116.06445	193.66952	279.06852999999995	191.41038	247.36887	242.82711	365.3516100000001	80.02934	97.84684	1284.0888599999998	4.71754	376.85825000000006	1103.99023	331.23925	322.17299	173.127	277.54619	776.04185	124.21482	412.76281	490.14247	112.25790999999998
S08_Z01	35.922610000000006	286.4159	3391.0303900000004	192.70047	6835.9667000000045	4694.342450000001	374.4738	7.99782	399.92423	2507.7318399999995	0.0	0.0	0.0	0.0	0.0	7278.645920000003	0.0	144.0587	3006.82952	4573.757160000001	3209.03932	97.17171	446.35359	4748.435009999999	3199.5648800000017	3998.16772	4494.02238	3410.91756	4306.806120000001	5172.36393	2247.07931	746.5890899999999	58.1111	528.9539	393.692	634.2533699999999	1092.9703	1526.76014	0.0	2742.94518	88.17240000000001	590.40081	1510.06147	2603.22714	885.6630500000002	791.5465399999999	786.9321999999997	1023.3913599999998	202.70817	305.10635	2487.86991	245.11813	863.8594600000001	3256.9383900000016	729.75229	802.4763199999999	713.6075299999998	731.1272900000001	831.6056500000001	501.8552699999999	670.9945799999998	505.26311	606.0115999999999
S08_Z03	22.76779	133.61989	4673.047080000001	363.68199	8459.627031	5656.068970000001	361.8150099999999	26.37959	462.94957	3508.16807	0.0	0.0	0.0	13.6923	0.0	9389.991670000005	0.0	205.44555	3624.32309	5074.69163	4103.66216	66.05030000000001	350.74092	5415.555400000003	3015.9699600000004	5147.775719999999	4967.236020000002	3655.089579999999	6094.417100000001	5234.759889999998	3126.9513500000007	623.645	94.4946	398.37540000000007	248.3791	713.7925000000001	1087.9704	1728.39446	0.0	2824.3157300000003	120.51646	778.06103	1211.40519	2099.64039	815.6589399999998	948.2342599999998	749.4832999999999	1061.83335	251.10284	510.12363	2598.7753300000004	243.51876	1101.6131999999998	3852.993519999999	769.4346999999999	1354.97383	1134.3339300000005	694.76916	962.76371	534.76523	1090.2501900000002	1320.7203200000006	462.6958100000001
S08_Z05	0.0	10.7621	1195.98508	296.56669	3318.965336999998	2739.01171	58.83949	0.0	214.96409000000003	1999.7023799999995	0.0	0.0	0.0	27.5838	7.4721	3446.73161	0.0	79.45246	1212.06905	2439.818204	1315.1169599999998	0.0	41.43873	2704.6654499999995	1165.9640099999997	3549.28509	2210.69533	2261.0341200000003	3144.76677	2419.435469999999	1324.2207499999995	70.18612999999999	26.82824	81.95793	34.88815	113.23333	375.61685	575.5156599999999	0.0	1152.5669299999995	123.28566	688.6528999999998	436.1335700000001	589.3578299999999	250.37868	272.07627	322.48708	477.81001	100.13243	81.22572	2326.9085000000005	8.16652	254.20757000000003	1313.1663800000006	192.893	337.38351	418.28993	167.83728	727.4783199999999	182.81884	493.35531	1156.8837699999997	71.89782000000001
S09_Z01	409.88495	35.90461	2802.0096000000003	241.81315	6663.086670000001	5228.771990000008	198.40250000000003	17.4507	166.94123	2896.1337100000005	9.81142	0.0	0.0	5.18241	0.0	8773.118289999999	0.0	44.54266	4124.124330000001	4870.704750000002	3021.7087199999987	39.6523	94.48882	4455.329810000001	2707.3823700000003	4823.960059999999	4164.983719999999	4013.059929999999	4869.211389999999	6337.951969999997	2301.4993399999994	389.5573	61.77693	114.98085	44.50376	262.43419	701.8588	1251.9683	0.0	3102.19293	40.61894	831.75113	1190.60798	2728.85086	677.5137299999999	766.6648200000001	756.0325100000001	696.4828699999999	122.91837	522.3503599999999	2681.491140000001	73.12912	1348.1484399999997	2546.36851	1203.5628399999996	728.01511	653.3215200000001	584.36493	744.48828	449.03553	579.37309	685.1717500000001	459.67061000000007
S09_Z03	501.0392399999999	22.1553	2796.216170000001	213.70929	7377.305010000001	5185.132750000001	112.81379	20.1367	178.09605	3251.959210000001	0.0	0.0	0.0	0.0	9.73123	8746.878129999996	0.0	24.6971	3805.584380000001	3830.036330000001	3252.6163000000006	27.9931	90.07227000000002	4879.30984	2295.01424	4127.596939999999	4302.32931	3648.02731	6181.275180000005	6482.54104	2346.57076	0.0	43.647180000000006	53.958000000000006	37.13617	431.7104500000001	753.3469400000001	1702.095550000001	0.0	3373.00932	124.03534	735.2212299999998	1223.5331599999995	3208.9047100000007	597.28898	802.4088000000003	732.8873799999999	1023.53448	193.44407	501.7931299999999	1989.95243	49.16881	1397.65097	3253.84747	1114.2221200000004	848.5757600000002	949.65869	672.1223800000001	898.90956	620.4139299999999	801.35345	773.98688	506.68974
S09_Z05	428.83802	18.6145	3025.5825599999985	257.03484	6520.891190000003	4547.675959999999	130.11703	16.9148	160.19747	2444.1881499999995	0.0	0.0	0.0	11.6272	8.99199	8106.186289999994	0.0	68.0446	3493.1588999999985	4349.276109999999	2841.97637	25.4501	147.24912999999998	5031.962389999999	3074.39844	3809.41267	4208.277189999998	3569.76806	5121.4142	4757.040740000003	2445.1589499999995	378.75792	22.3928	24.5099	47.13194	318.37527	717.6078200000001	1478.3440400000002	0.0	2823.56809	127.67891	875.54975	1149.1723900000002	2565.6958600000003	674.21497	786.10192	809.1968200000001	760.10342	146.49561	458.1971300000001	2453.704670000001	66.29104	1102.0972499999996	2808.5339400000007	1051.1096899999995	1031.40618	745.3086099999999	603.6843300000002	1130.38775	476.2935100000001	624.70959	1230.42868	529.4886899999999
S10_Z01	258.12783	243.975	3803.81497	292.69359999999995	8582.136970000001	6741.712619999999	323.41093	72.3339	567.5788	2905.815079999999	0.0	0.0	0.0	18.5903	0.0	9593.717570000006	0.0	367.49648	3808.3953099999994	5247.41113	4025.60812	49.85656	310.70541000000003	5594.676930000004	4602.712780000003	5247.987150000001	5454.936250000002	5944.7394	6438.075839999997	5938.622619999999	3099.864610000001	1972.62507	456.71091	513.8993	349.11214	696.0311999999998	936.2228500000002	1586.2378300000007	9.01353	3182.8069	144.62971000000002	1265.11619	1570.17707	2619.16971	773.95726	897.2869699999999	760.42632	1161.1167899999998	269.5858	683.5678	2466.12123	286.66402000000005	1696.82704	3086.4017699999986	862.5609899999998	829.2067000000003	901.8712300000002	562.8694900000002	1311.1163799999997	448.9396	672.7906000000002	1743.06661	573.5081399999999
