Samples	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepb	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
S17_Z09	45.24248	19.252	2285.36869	1516.07786	6230.176169999999	3342.804550000002	96.02848	6.05763	727.0861	2122.14406	0.0	0.0	0.0	12.48179	0.0	4173.7766	0.0	387.18863	1442.22119	3505.0627199999985	2588.7116100000003	0.0	10.114	4622.6713100000015	2433.8011299999994	3656.000789999999	3233.27739	3808.078180000001	3974.414600000001	3718.599459999999	1985.4505699999995	3.28796	27.504510000000003	36.73617	33.61495	320.91291	1801.6097	1327.1568900000002	0.0	2126.55452	237.53597	1253.71046	1234.2261499999995	1763.0156200000004	1077.4889099999996	1043.2262899999998	1226.23709	1601.3043200000002	1484.2000400000002	724.68674	2713.022249999999	71.36934	990.73702	2604.3554900000004	931.81014	807.6500999999998	706.6005	630.5013099999999	1906.03442	651.15677	1509.84627	1298.9450299999996	806.8668700000001
S18_Z07	33.97376	0.0	4916.679679999999	193.25058	9958.702019999995	7520.598960000002	61.19391	0.0	62.9241	5154.774330000001	0.0	0.0	0.0	27.0249	0.0	7550.647999999998	0.0	0.0	1371.67271	7437.100610000001	1268.9930099999992	0.0	131.67795	7033.409479999997	820.0901800000003	8521.345390000006	5831.465020000003	6434.120970000003	8184.120009999997	7007.349560000002	6979.524019999997	498.98417000000006	345.01948	21.679160000000003	0.0	186.102	499.3251599999999	685.4692500000001	0.0	465.9535	119.57816	4746.41145	461.38245	676.0332999999999	248.62916	352.42977	291.03227	169.32357	315.81293000000005	302.39582	5731.989480000001	37.20897	1685.0332700000006	2050.1650899999995	894.5160200000001	188.19386	271.42074	2982.67421	726.22385	3191.33275	2957.48486	3332.55122	1250.11535
S18_Z09	27.67972	0.0	2990.4591	444.97669	5386.273229999998	3919.5199	261.33844	0.0	161.29462	1959.1866999999995	0.0	0.0	0.0	0.0	28.1562	3949.9684399999983	0.0	164.39012	1519.1734000000004	4159.140050000001	1871.39003	19.3655	15.0976	3961.2464800000007	1127.1955200000002	4382.92943	3218.18256	3486.270940000001	4035.7628300000006	3752.5779900000016	3840.6869300000008	145.98553	132.38448	429.86803	0.0	143.53338	426.15257	740.6631100000001	0.0	1262.26291	178.03815	2750.7980700000003	726.1395100000002	1149.26794	286.65143	284.95739	342.85584	446.16729	1030.89737	451.96039	2648.409439999999	16.675530000000002	847.3917700000002	839.7002800000004	710.5029800000001	745.0084200000001	829.9143200000001	563.5982700000001	1609.62503	611.60063	792.0446300000001	1386.7697200000002	431.26936000000006
S19_Z07	24.95319	25.4263	1825.57576	657.21492	5248.677220000001	3201.1925299999984	77.87073	0.0	252.41338	2224.39301	0.0	0.0	0.0	30.8332	0.0	4117.7698	8.75713	172.7925	1938.93672	3186.72598	2075.7999	45.34043	25.11434	3849.825980000001	1918.5315900000007	3412.28863	2906.6242499999994	2901.4355800000017	3658.823579999999	2713.1484300000016	1551.36316	112.46717	6.90816	168.4801	0.0	247.94697000000008	995.35423	798.3443700000001	7.60773	1217.7723300000002	135.43903	564.63347	842.1783699999999	978.79026	551.5509199999999	606.4487600000001	693.0708000000001	548.87699	669.95585	589.4378300000001	2169.4023300000003	27.78606	567.5969200000001	1930.85243	691.4993600000003	599.46584	806.08535	399.88806	2187.6055100000003	840.6299399999999	1746.70227	2259.51826	428.45615
S19_Z09	53.43238	7.21854	1620.1156000000003	532.98313	5689.727629999995	4377.079629999999	93.2408	0.0	425.6116	2064.43574	0.0	0.0	0.0	17.45548	0.0	4659.210760000001	0.0	964.80228	1931.01762	3997.69949	2342.2314600000004	14.82651	8.25541	4677.757830000001	1966.62786	4062.1912700000016	3927.549680000002	3754.08381	4773.578293	4427.982740000002	1689.3213999999998	8.38172	67.24625	29.27303	0.0	189.03072	1147.8826700000002	930.83979	0.0	1762.5109799999998	285.92214	813.13611	958.4237	1239.31306	520.10302	474.30161	521.5480299999999	1041.40003	912.6469	587.79191	2643.66295	38.705200000000005	1163.51428	3390.805749999998	1383.1348200000002	664.40131	947.90775	517.7191300000001	1656.92205	612.86582	1320.8134099999995	1547.8670899999995	394.95811
S20_Z07	40.97112	0.0	4099.0450200000005	650.2399799999998	7839.423569999999	5603.577449999998	47.14562	7.51185	121.54887	4744.55088	0.0	0.0	0.0	27.12748	0.0	6491.053650000001	0.0	32.9142	2219.82533	5843.0779900000025	1846.52452	0.0	83.56452	5730.654770000001	1672.3593299999995	6058.8292900000015	5831.525770000001	5586.613110000002	7305.842199999994	5539.911549999998	5269.497200000001	194.9526	207.8922	38.0261	6.20856	372.74678	1027.2571300000002	962.4988100000004	0.0	931.0541799999996	116.60986	2798.9226000000003	776.8871500000002	1033.0562599999998	412.96887	564.2495099999999	404.15195	281.66795999999994	427.52987999999993	427.23185	2778.0095600000004	56.05114	1024.4540900000002	1141.6038799999997	964.9621500000002	974.00181	389.52085	2665.3466200000003	2187.2988000000005	3065.69167	3101.69857	3847.99496	2080.20932
S20_Z09	98.99542	3.89661	1225.5267500000002	1089.93101	5274.342100000003	3373.6082499999998	49.62769	32.08165	496.07437	2159.25127	0.0	0.0	0.0	29.75235	0.0	3669.007280000002	0.0	9.31145	1381.1834399999996	3073.9343	2403.3858200000004	0.0	21.53627	3217.737320000001	1719.4730100000002	3546.0415300000013	2463.9415600000007	2779.3688500000017	3537.9744200000005	2390.31494	1118.3779799999998	197.55497	45.9829	59.20779	7.16817	204.19154000000003	923.22213	1242.7755099999997	0.0	1134.0573500000005	135.70985	894.1691900000001	756.65572	1589.3888200000004	554.1835200000002	506.67178999999993	520.98239	793.60325	733.9052099999999	484.4868299999999	2726.2233800000004	48.16615	823.4590100000003	2062.0528399999994	921.46103	671.3096400000002	1064.6222799999996	457.5135400000001	1669.3895399999997	367.92287	1347.4976600000005	1658.5868999999998	406.20702000000006
S21_Z07	67.60956	0.0	5767.573970000001	454.53851	9672.181739999987	4741.286729999999	122.74074	0.0	201.48443	6275.671969999999	0.0	0.0	0.0	64.36905	0.0	7705.236729999997	0.0	80.87981	2395.8793600000004	8664.144739999998	1551.42707	7.39889	23.9153	8180.743639999999	1829.01648	8164.179640000001	6947.501140000001	7240.330330000003	10149.774499999994	6759.96779	7262.325420000001	221.36511000000004	216.6453	78.49462000000001	0.0	454.4693500000001	682.94506	1173.7923800000003	0.0	605.77958	249.09137	4699.39985	709.48381	1032.4647800000002	362.69588	644.84622	545.25072	224.44972	413.74321	516.8597100000001	2329.445959999999	38.80649	1452.53989	1642.76329	1014.35726	2971.44475	622.6211399999999	5361.41327	4137.381190000001	3346.974329999999	3447.351850000001	4322.41663	1842.3243099999995
S21_Z09	46.1834	4.96691	952.0140499999997	669.93591	5484.491099999997	3479.3245099999976	67.76955	0.0	45.2656	2879.8915000000006	0.0	0.0	0.0	0.0	0.0	4116.619559999999	0.0	616.99732	1772.92964	3326.793920000001	2211.74364	0.0	9.5205	3056.4537100000007	2025.90589	3392.81664	3252.4096899999995	3265.8021499999995	5102.015309999997	4141.84016	1612.86695	7.3456	71.0016	47.2623	0.0	156.20287	312.45091	864.8624999999998	0.0	1184.2604899999997	253.48673	1191.28099	426.7333699999999	563.20894	99.92731	195.68483	118.93313	203.43937	370.75374	240.04391000000004	2197.8687999999997	55.38587	447.52552	1980.5643700000007	383.24811000000005	468.78733000000005	326.34644	252.62745	1714.55574	560.57574	915.97691	2078.04275	216.95048
S24_Z07	84.09929999999999	0.0	1403.219	347.17407000000003	5493.479840000001	3689.48501	109.34065	4.84128	230.6088	2774.1641400000003	0.0	0.0	0.0	105.66303	0.0	4565.040940000001	7.03357	268.88934	2033.314459999999	3071.7258	2303.897070000001	31.04424	46.07259	3897.615549999999	2033.6196300000004	4591.387540000004	3291.77662	3089.64327	4370.8143900000005	2819.041420000002	1204.4670199999991	180.61911	14.05752	203.6962	18.63446	291.23453	528.64526	336.15160999999995	4.52708	1109.08797	149.62597	685.80817	689.3392700000003	1035.21077	172.47346000000002	322.34802	261.96793	327.73681	336.85076999999995	296.63731	3019.26099	31.84361	481.45236	1982.495649999999	789.1151100000002	558.97736	1025.64257	284.35429	1734.1085800000003	691.1207300000001	1291.3444399999998	2056.94439	409.80404
