Samples	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepb	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
S11_Z00	126.25694	56.69617	3790.3110199999983	479.8805799999999	7580.311320000001	5312.614940000001	207.79210000000003	0.0	252.06312	3349.60378	0.0	0.0	0.0	19.5509	15.3063	7493.729189999997	0.0	144.3283	3878.77051	3865.982080000001	2613.3490400000005	139.581	120.41419	4280.26233	2331.4523800000006	4435.917370000001	4157.0127200000015	3796.4061000000015	5526.746530000001	4993.299769999998	3756.03995	757.81678	92.69621	47.4961	74.60799	456.9341200000001	880.70119	1449.5332499999995	0.0	2434.3493400000016	329.50283	691.9530300000002	1109.5248099999997	2078.02845	504.57859	769.09844	549.3857599999999	1122.76725	344.29621999999995	695.9428899999999	3318.7175099999995	34.22333	924.1852299999998	3084.9303799999966	868.9619699999998	590.6967000000002	513.6051	407.48068000000006	787.0736999999999	355.57067000000006	562.98156	567.61713	473.4579300000001
S12_Z00	567.29529	2.58031	4770.83082	404.5170900000001	11553.955509999998	7175.809159999995	407.8580500000001	20.7113	466.65457	3154.5182999999997	0.0	0.0	0.0	16.25392	0.0	15075.76610000001	0.0	49.2097	7177.315639999998	6985.666400000001	5449.069779999997	26.4821	292.98806	5943.070639999999	4743.349029999998	5021.58891	8131.180379999999	7931.6484	6357.690300000001	6812.03635	3922.3439199999984	258.0194	80.4436	121.2924	27.7207	631.0633300000001	2217.60027	4369.083509999999	0.0	8356.713550000004	86.73577	1653.0983199999998	2404.6595300000004	4396.163079999999	1711.0424900000005	1639.76845	1908.6724400000005	2310.5091499999994	999.175	722.6722299999999	3321.7832299999995	42.2928	2682.04713	6686.32527	2574.09375	2051.73732	1698.9986	1806.0591200000003	2139.58821	1617.9044000000004	1520.8408000000002	1475.2919300000003	1466.5339200000003
S13_Z00	185.3592	10.1228	3814.547670000001	679.61724	6706.111939999999	4232.760169999997	364.9915999999999	38.8449	276.94921000000005	3150.906199999999	0.0	0.0	0.0	0.0	11.94371	8635.172969999994	0.0	0.0	3491.86381	5417.544400000002	3706.5126500000006	17.23585	150.82407	4668.33336	2962.56885	4376.955339999999	5804.557320000001	5429.144410000002	4457.090000000001	5453.096689999999	2343.76817	523.38903	0.0	7.25562	3.83726	197.3439	1251.54458	1909.2184500000003	7.41109	3315.7095699999986	144.65533	585.6651600000001	1259.5167299999996	3529.0417099999995	834.2797899999998	925.27665	977.35689	1082.91176	845.8494799999999	397.60828	2288.6739099999995	24.1661	725.4687699999998	3870.0912600000006	915.23805	705.29528	539.4853400000001	578.42431	579.5978200000001	675.26771	947.44909	481.80013	422.57066
S15_Z00	181.45415	335.2518	3161.60557	147.91559999999998	6900.769059999998	5318.930929999999	133.05773	17.7174	740.61636	3059.7517099999977	8.07748	0.0	0.0	8.92068	0.0	8775.514669999991	0.0	253.21125	3547.03179	4394.31911	3632.6025099999983	32.8321	467.76109	4869.91646	2455.7854900000007	3852.02768	4888.58456	3566.6067799999987	4815.603649999997	4677.86226	2640.177530000001	768.2447	117.7726	566.95388	367.2433999999999	497.79941	1016.11831	1928.2652000000005	0.0	2929.630260000001	222.2534	536.8068200000001	875.5473700000001	3322.0594800000013	762.00468	870.9211000000003	947.88089	863.20558	335.91262	454.9922000000001	2281.77004	369.09433	750.49826	3548.65252	697.4625800000002	913.2011399999998	860.6268499999999	768.0455400000001	712.38989	478.12025	438.31422	552.23716	885.70675
S16_Z00	117.6948	419.7672199999999	4612.344349999999	490.23349	9874.99023000001	7559.146430000002	309.69861	13.0839	609.2672399999999	3942.8495399999993	0.0	0.0	0.0	0.0	0.0	10751.81576	0.0	309.202	3402.632609999999	6386.503989999998	5394.307130000003	20.89982	678.6979499999999	6462.084410000003	4129.2663600000005	4975.17564	5299.7611	4523.184120000003	5949.962509999998	6462.718839999994	3096.1316800000004	668.5656	326.62827	687.23453	647.81485	1124.59905	1691.1279299999997	2881.53908	0.0	3524.12981	62.6534	1254.94781	2464.9651199999994	3791.52781	1039.9586600000002	863.68657	1205.10561	1214.24975	504.19018	572.63007	3451.7123899999992	484.43462	1246.0872900000002	4405.172839999999	1316.17585	1270.5535100000002	902.45141	978.05314	1515.4167700000005	971.69885	1821.1375	967.3811	1057.6645
S17_Z00	97.34601	102.0152	3119.0900500000007	321.53538	6730.924020000001	5401.374809999998	201.36931000000004	31.27547	399.20375	2777.0844	33.93596	0.0	0.0	37.189800000000005	0.0	7703.079289999999	0.0	453.6759000000001	3165.56937	4438.404449999997	3350.39063	265.10055	405.61929	5021.135520000001	3087.4270800000004	3635.57273	4339.36656	4270.24402	5979.577879999999	4168.008439999999	2598.6519800000005	234.00662	139.74994	316.95176999999995	259.6963	380.65897	1167.72406	1633.9350300000003	18.5043	3006.6760899999986	89.29090000000001	623.3463399999998	1496.786849999999	2833.48858	409.9577599999999	446.23639	608.8762500000001	680.6242400000002	584.7925899999999	242.87777	2723.251769999999	62.6615	1005.3644000000002	2790.18168	1768.65476	596.6845	475.3152700000001	380.1309000000001	515.56543	260.35579	392.55831000000006	559.82251	361.7800199999999
S18_Z00	115.73298	9.67106	3973.90731	887.3651399999998	6154.47898	4683.511449999999	294.67113	0.0	167.63662	1920.4513800000004	12.8146	0.0	0.0	28.48908	0.0	6221.7919200000015	0.0	37.1878	2122.02791	6204.484970000001	2921.637710000001	196.37607	515.43084	3179.824029999999	2274.04231	4268.781259999999	3936.696809999999	3730.102339999999	3681.557510000001	4288.09525	2761.0078399999998	119.4721	106.06105	87.99972	8.03216	496.30544	1283.3645299999998	2290.13852	0.0	2782.9736499999995	70.66815	2037.26357	1828.5539599999995	3273.987699999999	947.30671	1163.19556	1022.26792	1197.35816	801.72998	438.19770000000005	3087.2581300000006	102.73947	943.79199	2233.43306	869.5602100000002	1039.7704399999998	1122.75779	721.78237	1404.8843400000003	659.1303000000001	794.99062	1286.62759	468.47996000000006
S19_Z00	60.046380000000006	9.24793	1715.3216699999996	152.20673	6355.619720000001	4158.196669999999	70.71682	15.2473	66.76838	3367.109559999999	0.0	0.0	0.0	12.0288	0.0	6906.75435	0.0	39.02829	2744.1754099999985	3417.2186	2149.180490000001	18.33574	342.6777900000001	3399.07812	2542.80939	3344.3545699999977	4206.056169999999	2925.3567900000003	3668.548120000001	4165.592410000001	2322.1592300000007	14.09913	18.3407	38.1564	56.66572	164.5152	810.9082199999998	786.59396	0.0	2361.30769	133.7287	208.1847199999999	970.50981	1905.78461	191.61472000000003	255.05906	397.90133	342.58599	202.5997	125.36057999999998	1690.41819	20.67667	809.34351	2558.37431	1243.6727699999997	270.78964	215.319	155.92006999999998	243.23512	136.42447	204.46702	193.7947	112.35929
S20_Z00	68.99856	8.46445	2819.07094	473.08942	7747.042709999998	5582.20674	126.12043	21.63002	205.54954	4630.207549999999	12.0111	0.0	0.0	13.7995	0.0	8833.971039999999	0.0	23.5604	3596.20193	4603.36021	3246.15524	7.31097	290.3280899999999	4317.99265	3448.789929999999	3393.84018	4326.83886	4022.9210600000006	3791.2929600000007	4386.444	2259.9706100000003	334.43663000000004	34.886680000000005	48.5291	32.9378	206.91367	1804.50666	1818.8209100000008	0.0	2853.7141599999995	92.4283	596.4790500000001	1347.83742	3431.1113499999988	578.73823	688.042	763.6305200000002	939.08913	284.66684000000004	210.94923000000003	2197.32894	34.78478	876.5355100000002	3808.722309999999	1579.49859	403.683	318.08436	350.6035	442.54928000000007	337.47227	288.47819000000004	355.96755	291.63104000000004
S24_Z00	113.15989	238.5425	1887.0723900000005	192.85007	6149.779830000006	4425.278490000001	111.49025	0.0	258.53146	2792.439710000001	0.0	0.0	0.0	14.78546	0.0	6168.63351	26.1677	202.64124	2262.42314	3432.250090000002	2705.577710000001	93.48433	894.8389500000001	3457.893860000001	2209.18267	3054.63369	2730.321600000002	2634.0154100000004	3596.313369999999	3702.517819999999	1901.0278200000005	106.3586	162.7172	291.92307	58.3446	861.7219400000001	839.2034299999999	1048.9196700000002	0.0	2051.63592	117.9322	396.75163	723.6083100000002	2085.6955400000006	468.1742099999999	606.8993999999998	600.3976599999999	486.96927	202.04258	259.28989	1888.51983	172.07376	767.2388	2164.0153900000014	928.39868	431.28142	338.68882999999994	305.72072000000003	450.5698200000001	259.89816	314.67311	252.13826	305.14467
