samples	CHL.chlor_a	FLH.nflh	KD.Kd_490	PAR.par	PIC.pic	POC.poc	RRS.Rrs_412	RRS.Rrs_443	RRS.Rrs_469	RRS.Rrs_488	RRS.Rrs_531	RRS.Rrs_547	RRS.Rrs_555	RRS.Rrs_645	RRS.Rrs_667	RRS.Rrs_678	SST.sst
TSC031	0.305420488119125	0.11331250825242	0.0509999987116316	37.844998686458	1.59977798830369e-05	93.0999060198665	0.00257300086479972	0.00307600086352977	0.00336900086279002	0.00319300086323437	0.00176400086684225	0.00141100086773349	0.00121600086822582	0.000147000870924785	0.000203000870783399	0.000252000870659685	27.1674993927591
TSC036	0.698339194059372	0.104897508284921	0.0801999979739776	51.5339993366506	3.19977798426407e-05	161.299907036126	0.00141800086771582	0.00229000086551423	0.00274000086437809	0.00285700086408269	0.00210200086598888	0.00174900086688012	0.00153900086741032	0.000157000870899537	0.000232000870710181	0.000279000870591517	26.4749994082376
TSC045	0.520434603095055	0.0966525083167653	0.0681999982771231	53.7739994430449	1.09977798956606e-05	126.099906511605	0.00230300086548141	0.00289900086397665	0.00332000086291373	0.00334200086285819	0.00225700086559755	0.00183300086666804	0.00159300086727399	0.000177000870849042	0.000238000870695032	0.000283000870581418	26.6824994035996
TSC056	0.210288181900978	0.0613350084531703	0.038099999037513	54.3119994685985	9.9977798981854e-06	59.8999055251479	0.00466600085951541	0.00460000085968204	0.00467000085950531	0.00427800086049501	0.00197100086631963	0.00150800086748859	0.0012410008681627	0.000176000870851567	0.000212000870760676	0.00023000087071523	28.5074993628077
TSC060	0.112448621541262	0.04391000852047	0.0337999991461402	51.7189993454376	3.49977798350665e-05	43.6999052837491	0.00951100084728296	0.00776100085170128	0.00692500085381198	0.0058740008564655	0.00247400086504967	0.00190500086648626	0.00155500086736993	0.000296000870548596	0.000211000870763201	0.000214000870755626	30.7424993128516
TSC062	0.0867683999240398	0.0342625085577311	0.0293999992572935	52.4909993821057	2.29977798653636e-05	36.4999051764607	0.0111780008430742	0.0084470008499693	0.00730300085285762	0.00600700085612971	0.00230600086547383	0.00175700086685993	0.0014390008676628	0.000285000870576368	0.000183000870833894	0.000186000870826319	30.9724993077107
TSC065	0.0753690078854561	0.0468000085093081	0.0284999992800294	49.622999245883	2.79977798527398e-05	34.8999051526189	0.0120910008407691	0.00908300084836355	0.00775800085170886	0.00631900085534198	0.00241000086521126	0.00180700086673369	0.00147800086756433	0.000254000870654636	0.00019000087081622	0.000205000870778349	29.6199993379414
TSC068	0.061959670856595	0.0586575084635115	0.0242999993861304	39.6419987718109	1.39977798880864e-05	29.3999050706625	0.0131110008381938	0.00963500084696989	0.00813000085076965	0.00639400085515263	0.00218100086578943	0.00160100086725379	0.00133900086791527	0.000187000870823795	0.000164000870881864	0.000185000870828844	27.5299993846565
TSC070	0.179785043001175	0.0507950084938784	0.0359999990905635	39.5269987663487	9.9977798981854e-06	51.399905398488	0.00687600085393569	0.00540500085764961	0.00512600085835402	0.00456300085977546	0.00201800086620096	0.00154200086740275	0.00133100086793547	0.000197000870798547	0.000166000870876815	0.000183000870833894	27.5549993840978
TSC071	0.349980011582375	0.0833500083681429	0.0529999986611074	35.8599985921755	0.00214499777450783	103.999906182289	0.0101140008457605	0.0101100008457706	0.0118370008414104	0.0122300008404181	0.00706600085345599	0.00566700085698812	0.00480400085916699	0.000475000870096665	0.000366000870371863	0.00027000087061424	27.1524993930943
TSC073	0.188466936349869	0.0808850083776633	0.0342999991335091	33.4309984768042	1.09977798956606e-05	50.3999053835869	0.00629700085539753	0.00507500085848278	0.00485300085904328	0.00439700086019457	0.00192700086643072	0.00143800086766532	0.00124700086814755	6.30008711368646e-05	9.10008710661714e-05	0.00014800087092226	24.1324994605966
TSC078	0.269769445061684	0.128187508194969	0.04989999873942	26.6899981566239	1.49977798855616e-05	73.2999057248235	0.00578800085668263	0.00442500086012387	0.00424100086058843	0.00405300086106308	0.0022510008656127	0.00176400086684225	0.00156700086733963	0.000149000870919735	0.000210000870765725	0.000277000870596567	21.6874995152466
TSC085	0.347718611359596	0.16405750805643	0.0560999985827948	19.8169978301739	1.09977798956606e-05	87.49990593642	0.00467800085948511	0.00332000086291373	0.00329800086296927	0.00331600086292383	0.00199800086625146	0.00159000086728156	0.0014390008676628	8.20008710888942e-05	0.00020900087076825	0.000299000870541022	20.867499533575
TSC089	0.479102432727814	0.222155007832043	0.0674999982948066	21.3119979011826	1.49977798855616e-05	212.199907794595	0.0045450008598209	0.0030020008637166	0.00294900086385042	0.00313600086337829	0.00217200086581215	0.0017380008669079	0.00159800086726136	0.000128000870972755	0.000260000870639487	0.00037300087035419	15.4874996538274
TSC092	5.92003285884857	0.446980006963713	0.519899986866221	40.9519988340326	0.000282997779208927	717.799915328622	0.00124400086815513	0.00129200086803394	0.0015680008673371	0.00191600086645849	0.00251400086494868	0.00247900086503705	0.00242700086516834	0.000559000869884585	0.000611000869753298	0.000899000869026167	14.7299996707588
TSC102	0.16500074416399	0.156407508085977	0.0387999990198296	36.9269986428553	1.99977798729378e-05	51.6999054029584	0.00759700085211534	0.00606700085597822	0.0054740008574754	0.00486100085902308	0.00232300086543091	0.00173600086691295	0.00149000086753404	0.000155000870904587	0.0002070008707733	0.000297000870546071	16.5524996300228
TSC110	0.177514687180519	0.0860700083576376	0.0381999990349868	41.0479988385923	2.4997779860314e-05	52.199905410409	0.00688300085391802	0.00567300085697298	0.00522800085809649	0.00463700085958862	0.00219500086575408	0.00164700086713765	0.00138800086779156	0.000103000871035874	0.000154000870907112	0.000199000870793498	20.3649995448068
TSC117	0.115331470966339	0.0535575084832089	0.033399999156245	51.6219993408304	5.7997779776997e-05	45.0999053046107	0.00902200084851756	0.00781200085157252	0.0072190008530697	0.00613200085581411	0.00260000086473156	0.0019680008663272	0.00160700086723864	0.000219000870743002	0.000217000870748052	0.000238000870695032	24.4249994540587
TSC126	0.0568749532103539	0.044207508519321	0.0250999993659207	49.8469992565224	3.89977798249674e-05	30.699905090034	0.0128640008388174	0.0100620008458918	0.00852400084977489	0.00681000085410233	0.00241200086520621	0.00177100086682458	0.00145300086762745	0.000183000870833894	0.000181000870838943	0.000192000870811171	23.6799994707108
TSC135	0.0861606933176517	0.0677950084282202	0.0311999992118217	50.2689992765663	8.59977797063038e-05	40.199905231595	0.0111420008431651	0.00893700084873217	0.00797100085117108	0.0065850008546704	0.00268800086450938	0.00201900086619844	0.00168700086703666	0.000254000870654636	0.000245000870677359	0.000258000870644537	21.3924995218404
TSC140	0.495306938886642	0.127040008199401	0.0688999982594396	59.7189997254172	0.00115199777701491	115.199906349182	0.00930600084780053	0.0079420008512443	0.00788700085138316	0.00805800085095143	0.00540500085764961	0.00447700085999259	0.00385800086155541	0.000416000870245625	0.000399000870288546	0.000446000870169883	8.11499981861562
TSC141	0.104054644703865	0.0639275084431574	0.0301999992370838	36.0309986002976	0.000107997779650759	42.9999052733183	0.00992600084623518	0.00847900084988851	0.0078410008514993	0.00674300085427149	0.00274800086435789	0.00199800086625146	0.00169300086702151	9.90008710459733e-05	0.000165000870879339	0.000200000870790973	2.12499995250255
TSC145	0.123739548027515	0.0788025083857065	0.0311999992118217	30.4099983333144	7.99977797214524e-05	46.199905321002	0.0088550008489392	0.00768200085190074	0.00718100085316564	0.00637400085520312	0.00267400086454472	0.00195700086635497	0.00165900086710735	0.000100000871043449	0.000201000870788448	0.000213000870758151	0.164999996311963
TSC147	0.771198928356171	0.171070008029346	0.0868999978047214	42.7759989206679	0.000118997779622987	150.299906872213	0.00335700086282031	0.00316200086331264	0.00343500086262338	0.00353700086236586	0.00284900086410289	0.00243700086514309	0.00222000086569096	0.000301000870535972	0.000358000870392061	0.00043400087020018	17.8299996014684
TSC148	0.103154242038727	0.0484575085029064	0.0320999991890858	44.321998994099	3.89977798249674e-05	41.9999052584171	0.0101460008456797	0.0081360008507545	0.00724000085301668	0.00615000085576867	0.00255200086485274	0.00192000086644839	0.00162600086719067	0.000198000870796022	0.000194000870806121	0.00020900087076825	21.2924995240755
TSC149	0.0125977559946477	0.0375775085449277	0.0196999995023361	46.3599990908988	5.29977797896208e-05	18.59990490973	0.0213500008173924	0.0155200008321117	0.0117510008416275	0.00819100085061564	0.00233300086540567	0.00169000086702908	0.00140300086775369	0.000180000870841468	0.000166000870876815	0.000171000870864191	24.0749994618818
